债券代码,债券简称,票面利率(%),发行起始日,主承销商,发行人省份,发行人,发行人行业,募集资金用途,债券类型,上市地点,债项评级
012000646.IB,20春秋航空(疫情防控债)SCP001,2.85,2020-03-02,"中国建设银行股份有限公司,兴业银行股份有限公司",上海,春秋航空股份有限公司,工业,"发行人本期发行6亿元,其中1.96亿元用于支持疫情防控相关的营运资金,2.54亿元用于补充发行人主营业务经营活动所需的营运资金,1.50亿元用于偿还银行借款(国开行).",超短期融资债券,银行间,
012000644.IB,20武商(疫情防控债)SCP002,2.9,2020-03-02,交通银行股份有限公司,湖北省,武汉武商集团股份有限公司,可选消费,"根据发行人的资金需求,本次募集资金2.5亿元,其中:(1)募集资金5000万元用于补充抗击新型冠状病毒疫情的民生保障相关流动资金.具体为:用于采购储备蔬菜,肉蛋禽及各种生活必需品用于销售,为保物价,保质量,保供应做充分的准备;用于购买防护口罩等防护用品以到店销售,保障百姓日常防护;用于购买消毒液,除菌液等紧缺消杀商品,保证消杀商品价格稳定,平价供应,质量可靠;用于购买毛巾,洗涤物品等日用品,满足武汉方舱医院的生活配套;用于为各地区各门店配备体温枪等防护设备,以提升门店防护安全保障等抗击新型冠状病毒疫情的民生保障方面.(2)发行人下属购物中心受疫情影响全面停业,下属超市为保供应依然继续营业,但经营受到较大冲击,整体销售规模下滑,流动性受到一定影响,募集资金2亿元用于发行人补充受疫情影响的商业板块日常流动资金.",超短期融资债券,银行间,
032000155.IB,20昆山国创(疫情防控债)PPN002,4.48,2020-03-02,,江苏省,昆山国创投资集团有限公司,信息技术,,定向工具,银行间,
012000647.IB,20中联重科(疫情防控债)SCP002,2.4,2020-03-02,中国银行股份有限公司,湖南省,中联重科股份有限公司,工业,"本期超短期融资券拟发行10亿元,其中1亿元用于补充与抗击新型冠状病毒肺炎相关的流动资金;9亿元拟用于偿还银行贷款",超短期融资债券,银行间,
012000645.IB,20锡交通(疫情防控债)SCP002,2.2,2020-03-02,"招商银行股份有限公司,兴业银行股份有限公司",江苏省,无锡市交通产业集团有限公司,工业,"发行人计划将募集资金2亿元中1.8亿元用于偿还发行人有息债务,0.2亿元用于补充子公司营运资金.",超短期融资债券,银行间,
112093595.IB,20内蒙古银行(防疫专项)CD043,3.1,2020-03-02,,内蒙古自治区,内蒙古银行股份有限公司,金融,,同业存单,银行间,
032000144.IB,20华润租赁(疫情防控债)PPN001,3.85,2020-02-28,,广东省,华润租赁有限公司,工业,,定向工具,银行间,
032000140.IB,20临海基投(疫情防控债)PPN002,3.67,2020-02-28,,浙江省,临海市基础设施投资有限公司,工业,,定向工具,银行间,
zc20030205.SZ,铁建Y05C,--,2020-02-28,平安证券股份有限公司,广东省,中铁建商业保理有限公司,金融,,证监会主管ABS,深圳,
zc20030204.SZ,铁建Y05A,3.15,2020-02-28,平安证券股份有限公司,广东省,中铁建商业保理有限公司,金融,,证监会主管ABS,深圳,AAA
165936.SH,诚泰微次,--,2020-02-28,"海通证券股份有限公司,恒丰银行股份有限公司,国泰君安证券股份有限公司",上海,诚泰融资租赁(上海)有限公司,金融,,证监会主管ABS,上海,
163178.SH,20中冶01,3.04,2020-02-28,"中信证券股份有限公司,五矿证券有限公司,中信建投证券股份有限公司,中银国际证券股份有限公司",北京,中国冶金科工集团有限公司,工业,"本期债券募集资金扣除发行费用后拟用于满足公司生产经营需要,补充流动资金,预计将不低于10%用于疫情防控相关工作.",一般公司债,上海,AAA
165935.SH,诚泰微B,--,2020-02-28,"恒丰银行股份有限公司,海通证券股份有限公司,国泰君安证券股份有限公司",上海,诚泰融资租赁(上海)有限公司,金融,,证监会主管ABS,上海,AA+
165934.SH,诚泰微A,--,2020-02-28,"国泰君安证券股份有限公司,恒丰银行股份有限公司,海通证券股份有限公司",上海,诚泰融资租赁(上海)有限公司,金融,,证监会主管ABS,上海,AAA
166156.SH,20环球04,3.9,2020-02-28,"中信建投证券股份有限公司,开源证券股份有限公司,中信证券股份有限公司",北京,中国环球租赁有限公司,工业,"本期债券发行规模不超过10亿元(含10亿元),不超过5亿元(含5亿元)用于偿还有息债务,不超过5亿元(含5亿元)用于补充流动资金,包括但不限于融资租赁业务运营过程中的项目资金投放等.",私募债,上海,
012000635.IB,20武商(疫情防控债)SCP001,2.76,2020-02-28,招商银行股份有限公司,湖北省,武汉武商集团股份有限公司,可选消费,"本次募集资金2.5亿元用于补充因疫情防控等原因支出的流动资金以及补充受疫情影响的业务板块的流动资金需求,其中2500万元用于补充抗击新型冠状病毒疫情的民生保障及防护配套等相关流动资金",超短期融资债券,银行间,
112093494.IB,20广东顺德农商行(防疫专项)CD044,2.4,2020-02-28,,广东省,广东顺德农村商业银行股份有限公司,金融,,同业存单,银行间,
112093492.IB,20唐山银行(防疫专项)CD023,2.75,2020-02-28,,河北省,唐山银行股份有限公司,金融,,同业存单,银行间,
112021090.IB,20渤海银行(防疫专项)CD090,2.3,2020-02-28,,天津,渤海银行股份有限公司,金融,,同业存单,银行间,
012000634.IB,20锡交通(疫情防控债)SCP001,2.2,2020-02-28,"宁波银行股份有限公司,中国民生银行股份有限公司",江苏省,无锡市交通产业集团有限公司,工业,发行人计划将本次募集资金2亿元用于偿还发行人有息债务和补充子公司营运资金.,超短期融资债券,银行间,
112093495.IB,20大连银行(防疫专项)CD037,2.3,2020-02-28,,辽宁省,大连银行股份有限公司,金融,,同业存单,银行间,
112093491.IB,20重庆银行(防疫专项)CD027,2.3,2020-02-28,,重庆,重庆银行股份有限公司,金融,,同业存单,银行间,
166195.SH,20连工01,7,2020-02-28,兴业证券股份有限公司,江苏省,连云港市工业投资集团有限公司,材料,"本期债券基础发行规模2亿元,超额配售不超过3亿元(含3亿元),扣除发行费用后全部用于防疫物资原材料生产.",私募债,上海,
012000633.IB,20复星医药(疫情防控债)SCP001,2.5,2020-02-28,"北京银行股份有限公司,上海浦东发展银行股份有限公司",上海,上海复星医药(集团)股份有限公司,医疗保健,"本期超短期融资券发行规模为6亿元,其中0.6亿元拟用于补充因抗击疫情带来的营运资金需求,3亿元拟用于置换发行人本部即将到期的金融机构借款,2.4亿元拟用于补充下属子公司江苏万邦的营运资金需求.",超短期融资债券,银行间,
166184.SH,20联投Y1,5.5,2020-02-28,"国信证券股份有限公司,中信建投证券股份有限公司,长城证券股份有限公司,中信证券股份有限公司",湖北省,湖北省联合发展投资集团有限公司,工业,本期非公开发行公司债券为疫情防控债，公司拟将本期债券的部分募集资金用于置换鄂州市定点隔离抗疫设施梁子湖区人民医院一期建设工程前期投入资金，及补充下属金融业务板块支持当地医疗民生行业降成本、延期限、提供专项融资产生的流动资金需求。剩余部分用于偿还公司债务。,私募债,上海,
163209.SH,20国机01,3.02,2020-02-28,"浙商证券股份有限公司,招商证券股份有限公司,中信证券股份有限公司",北京,中国机械工业集团有限公司,工业,根据发行人的财务状况和资金需求情况，本期债券募集资金扣除发行费用后，拟全部用于补充流动资金，其中不低于10%的金额拟用于发行人及下属子公司支持新型冠状病毒肺炎疫情防控相关业务。,一般公司债,上海,AAA
163198.SH,20兰创01,4.5,2020-02-27,中德证券有限责任公司,山西省,山西兰花科技创业股份有限公司,能源,本期债券募集资金拟全部用于补充公司日常生产经营所需运营资金及调整自身债务结构。其中，11.35亿元拟用于支持疫情防护防控相关业务和补充公司日常生产经营所需运营资金，8.65亿元用于偿还到期债务，置换流动性负债。,一般公司债,上海,AAA
166167.SH,G20唐租1,3.94,2020-02-27,"中国国际金融股份有限公司,方正证券承销保荐有限责任公司,中信建投证券股份有限公司,中信证券股份有限公司,海通证券股份有限公司",天津,大唐融资租赁有限公司,金融,本期债券募集资金扣除发行费用后拟用于与公司绿色项目相关的自筹资金置换、借款归还、偿还公司有息负债和补充流动资金。其中7亿元用于与公司绿色项目相关的自筹资金置换和借款归还，2亿元用于偿还公司有息负债，1亿元用于补充流动资金。,私募债,上海,
112093246.IB,20浙江台州黄岩农商银行(防疫专项)CD001,2.7,2020-02-27,,浙江省,浙江台州黄岩农村商业银行股份有限公司,金融,,同业存单,银行间,
166149.SH,20恒天Y1,6,2020-02-27,中国国际金融股份有限公司,北京,中国恒天集团有限公司,工业,"本期债券的募集资金在扣除发行费用后,拟用发行规模的20%补充参与疫情防控的子公司流动资金,剩余部分用于偿还恒天集团金融机构借款.",私募债,上海,AAA
149047.SZ,20合力01,5.33,2020-02-27,"中信建投证券股份有限公司,国泰君安证券股份有限公司,兴业证券股份有限公司",福建省,合力泰科技股份有限公司,信息技术,本期发行公司债券募集资金主要拟用于偿还公司金融机构贷款和其他有息负债以及补充公司及其子公司的营运资金，其中不超过20%的募集资金用于公司子公司补充防疫物资（红外测温仪、测温安检门、血氧仪等的配套零部件）生产等流动资金。,一般公司债,深圳,AAA
012000609.IB,20伊利实业(疫情防控债)SCP001,2.36,2020-02-27,中国银行股份有限公司,内蒙古自治区,内蒙古伊利实业集团股份有限公司,日常消费,"本期人民币5亿元超短期融资券的募集资金,其中4.5亿元用于补充发行人子公司营运资金,0.5亿元用于补充与抗击新型冠状病毒肺炎疫情相关的营运资金需求.",超短期融资债券,银行间,
102000203.IB,20丹投(疫情防控债)MTN001,5.5,2020-02-27,"海通证券股份有限公司,中信银行股份有限公司",江苏省,丹阳投资集团有限公司,工业,"首期发行5.00亿元,将全部用于补充流动资金和偿还发行人将到期的债务融资工具,其中拟偿还债务不涉及地方政府债务.",一般中期票据,银行间,AA+
012000607.IB,20瀚蓝(疫情防控债)SCP003,2.4,2020-02-27,中信银行股份有限公司,广东省,瀚蓝环境股份有限公司,工业,"本期超短期融资券拟募集资金5.6亿元,募集资金中0.6亿元用于补充发行人本部及下属子公司用于新型冠状病毒疫情防控的流动资金,5亿元用于偿还发行人到期债务融资工具(20瀚蓝SCP001)",超短期融资债券,银行间,
112093372.IB,20珠海华润银行(防疫专项)CD015,2.65,2020-02-27,,广东省,珠海华润银行股份有限公司,金融,,同业存单,银行间,
012000610.IB,20伊利实业(疫情防控债)SCP002,2.4,2020-02-27,中国农业银行股份有限公司,内蒙古自治区,内蒙古伊利实业集团股份有限公司,日常消费,"本期超短期融资券发行规模10亿元,全部用于补充公司本部及子公司营运资金.其中7亿元用于补充发行人本部以及子公司林甸伊利乳业有限责任公司,西安伊利泰普克饮品有限公司,兰州伊利乳业有限责任公司,滦州伊利乳业有限责任公司,赤峰伊利乳业有限责任公司,晋中伊利乳业有限责任公司,肇东市伊利乳业有限责任公司的营运资金需求;1.74亿元用于补充子公司合肥伊利乳业有限责任公司的营运资金需求,均用于生产高端牛奶或乳饮料,采购原辅料及支付其他与生产相关的支出等.另外1.26亿元特别用于发行人子公司合肥伊利乳业有限责任公司疫情防控期间保障乳制品供应所需的流动资金.",超短期融资债券,银行间,
012000611.IB,20船重(疫情防控债)SCP001,2.2,2020-02-27,"中国工商银行股份有限公司,上海银行股份有限公司",北京,中国船舶重工集团有限公司,工业,"发行人本次拟发行50亿元超短期融资券,其中10亿元拟用于下属子公司补充疫情防控的流动资金,40亿元拟用于偿还发行人即将到期的债务融资工具.",超短期融资债券,银行间,
012000612.IB,20中远海控(疫情防控债)SCP001,1.82,2020-02-27,"中国工商银行股份有限公司,交通银行股份有限公司",天津,中远海运控股股份有限公司,工业,"发行人本次募集资金10亿元,拟将其中8.9亿元用于偿还中远海运集装箱运输有限公司(以下简称“中远海运集运”)有息负债,1.1亿元用于全资子公司中远海运集运及中远海运集运下属上海泛亚航运有限公司,武汉中远海运集装箱运输有限公司补充因疫情防控带来的营运资金需求.",超短期融资债券,银行间,
163943.SH,20建材Y1,3.65,2020-02-27,"海通证券股份有限公司,中信证券股份有限公司,太平洋证券股份有限公司,东兴证券股份有限公司",北京,中国建材股份有限公司,材料,"本期债券发行规模不超过10亿元,扣除相关发行费用后,不低于10%金额拟用于补充发行人下属子公司疫情防控相关营运资金需求,其余部分拟用于偿还有息债务.",一般公司债,上海,AAA
112093373.IB,20盛京银行(防疫专项)CD066,2.85,2020-02-27,,辽宁省,盛京银行股份有限公司,金融,,同业存单,银行间,
112014026.IB,20江苏银行(防疫专项)CD026,2.29,2020-02-27,,江苏省,江苏银行股份有限公司,金融,,同业存单,银行间,
012000608.IB,20嘉公路(疫情防控债)SCP002,2.76,2020-02-27,兴业银行股份有限公司,浙江省,嘉兴市高等级公路投资有限公司,工业,"根据发行人的资金需求,本期发行金额20,000万元,其中3,000万元用于与新型冠状病毒疫情相关的疫情防控支出,17,000万元用于补充发行人营运资金需求.
",超短期融资债券,银行间,
166157.SH,20宏贸01,4.38,2020-02-27,海通证券股份有限公司,湖北省,湖北省宏泰贸易投资有限公司,可选消费,经公司董事会决定，并经公司股东批准，本期债券募集资金扣除发行费用后，拟将8.90亿元用于偿还到期债务，1.10亿元用于补充营运资金。,私募债,上海,AA+
012000606.IB,20永业(疫情防控债)SCP002,2.83,2020-02-26,上海浦东发展银行股份有限公司,上海,上海永业企业(集团)有限公司,公用事业,"本期超短期融资券计划发行金额3亿元,本期募集资金在扣除发行费用后,将募集资金中不超过2.50亿元拟用于补充营运资金,用于疫情防控相关支出,0.50亿元用于偿还有息负债本息.",超短期融资债券,银行间,
012000605.IB,20深业(疫情防控债)SCP001,2.6,2020-02-26,上海浦东发展银行股份有限公司,广东省,深业集团有限公司,工业,"本期拟募集资金30亿元,27亿元用于偿还存量债务融资工具,剩余3亿元用于支持疫情防控,补充营运资金",超短期融资债券,银行间,
012000580.IB,20恒安国际(疫情防控债)SCP001,2.85,2020-02-26,中国银行股份有限公司,福建省,恒安国际集团有限公司,日常消费,"本期人民币10亿元超短期融资券的募集资金,其中8.70亿元用于偿还发行人境内子公司金融机构借款,1.30亿元用于补充与抗击新型冠状病毒肺炎疫情相关的营运资金需求.",超短期融资债券,银行间,
112093229.IB,20瑞丰银行(防疫专项)CD019,2.4,2020-02-26,,浙江省,浙江绍兴瑞丰农村商业银行股份有限公司,金融,,同业存单,银行间,
012000579.IB,20航天电子(疫情防控债)SCP001,2.81,2020-02-26,招商银行股份有限公司,湖北省,航天时代电子技术股份有限公司,工业,"公司本期发行5亿元超短期融资券,其中5,000万元拟用于补充发行人受疫情影响的板块的流动资金,4.5亿元拟用于发行人偿还到期债务.",超短期融资债券,银行间,
012000582.IB,20华北制药(疫情防控债)SCP001,4.17,2020-02-26,中信银行股份有限公司,河北省,华北制药股份有限公司,医疗保健,"本期超短期融资券发行金额5亿元,期限270天,募集资金将用于补充发行人本部及下属子公司与疫情防控相关的流动资金以及偿还发行人本部有息债务.",超短期融资债券,银行间,
149046.SZ,20BOEY1,3.64,2020-02-26,"华英证券有限责任公司,平安证券股份有限公司,东兴证券股份有限公司,中信建投证券股份有限公司",北京,京东方科技集团股份有限公司,信息技术,本期债券募集资金扣除发行费用后拟用于向子公司增资，其中15%用于支持疫情防护防控相关业务，包括对发行人位于疫情较重地区的子公司武汉京东方光电增资。,一般公司债,深圳,AAA
042000065.IB,20兖矿(疫情防控债)CP001,2.82,2020-02-26,"广发证券股份有限公司,中国农业银行股份有限公司",山东省,兖矿集团有限公司,能源,"发行人本次发行短期融资券的发行金额为人民币10.00亿元,其中8.5亿元用于偿还疫情期间到期的债务本息(19兖矿CP001),1.5亿元用于补充疫情防控工作所需流动资金.",一般短期融资券,银行间,A-1
102000201.IB,20鲁高速(疫情防控债)MTN001,3.06,2020-02-26,"上海浦东发展银行股份有限公司,中国民生银行股份有限公司",山东省,山东高速集团有限公司,工业,"本期中票拟募集20亿元,其中2亿元用于支持疫情防控,补充营运资金,18亿元用于偿还银行贷款和置换债务融资工具.",一般中期票据,银行间,AAA
112019051.IB,20恒丰银行(防疫专项)CD051,3.05,2020-02-26,,山东省,恒丰银行股份有限公司,金融,,同业存单,银行间,
012000581.IB,20云南旅投(疫情防控债)SCP001,5.6,2020-02-26,"中国光大银行股份有限公司,招商银行股份有限公司",云南省,云南省旅游投资有限公司,可选消费,"本期拟募集资金1亿元,0.9亿元用于偿还存量债务,剩余0.1亿元用于补充游客退票支出产生的营运资金需求以及安置滞留旅客等产生的营运资金需求.",超短期融资债券,银行间,
112093237.IB,20广西北部湾银行(防疫专项)CD038,2.9,2020-02-26,,广西壮族自治区,广西北部湾银行股份有限公司,金融,,同业存单,银行间,
012000578.IB,20宜昌交旅(疫情防控债)SCP001,4.23,2020-02-26,招商银行股份有限公司,湖北省,宜昌交通旅游产业发展集团有限公司,工业,"本期超短期融资券募集金额3亿元,募集资金拟全部用于偿还公司本部及子公司的到期债务及补充抗击新型冠状病毒肺炎疫情相关的流动资金.",超短期融资债券,银行间,
112093239.IB,20浙江淳安农商银行(防疫专项)CD002,2.65,2020-02-26,,浙江省,浙江淳安农村商业银行股份有限公司,金融,,同业存单,银行间,
112093238.IB,20厦门农商行(防疫专项)CD001,2.95,2020-02-26,,福建省,厦门农村商业银行股份有限公司,金融,,同业存单,银行间,
112093232.IB,20浙江泰隆商行(防疫专项)CD001,2.8,2020-02-26,,浙江省,浙江泰隆商业银行股份有限公司,金融,,同业存单,银行间,
112093233.IB,20吉林银行(防疫专项)CD027,2.95,2020-02-26,,吉林省,吉林银行股份有限公司,金融,,同业存单,银行间,
102000202.IB,20南京农副(疫情防控债)MTN001,4,2020-02-26,南京银行股份有限公司,江苏省,南京农副产品物流配送中心有限公司,日常消费,"本期中期票据发行金额5亿元,其中0.5亿元用于抗击新型冠状病毒感染的肺炎疫情期间重点农产品等生活必需品货源组织,4.5亿元用于偿还银行贷款",一般中期票据,银行间,AA
112093234.IB,20广州银行(防疫专项)CD020,2.3,2020-02-26,,广东省,广州银行股份有限公司,金融,,同业存单,银行间,
112093235.IB,20张家界农商行(防疫专项)CD002,3.1,2020-02-26,,湖南省,张家界农村商业银行股份有限公司,金融,,同业存单,银行间,
112093236.IB,20杭州银行(防疫专项)CD051,2.28,2020-02-26,,浙江省,杭州银行股份有限公司,金融,,同业存单,银行间,
102000176.IB,20三门峡(疫情防控债)MTN001,3.58,2020-02-26,兴业银行股份有限公司,河南省,三门峡市投资集团有限公司,工业,"本期中期票据的发行金额为3.4亿元,募集资金用途为置换发行人本部及其子公司的金融机构借款,其中2.9亿元用于偿还发行人本部金融机构借款,0.5亿元用于偿还发行人子公司国开行防疫应急专项贷款.",一般中期票据,银行间,AA+
112093231.IB,20浙江金华成泰农商行(防疫专项)CD001,2.7,2020-02-26,,浙江省,浙江金华成泰农村商业银行股份有限公司,金融,,同业存单,银行间,
102000177.IB,20武汉市政(疫情防控债)MTN001,4,2020-02-26,汉口银行股份有限公司,湖北省,武汉市市政建设集团有限公司,工业,"武汉市市政建设集团有限公司2020年第一期中期票据(疫情防控债)发行金额2亿元,其中2000万元用于补充因定点防疫设施抢建项目支出;18000万元用于偿还银行借款",一般中期票据,银行间,AA
112093230.IB,20青岛农商行(防疫专项)CD021,2.78,2020-02-26,,山东省,青岛农村商业银行股份有限公司,金融,,同业存单,银行间,
149045.SZ,20海普瑞,3.8,2020-02-26,五矿证券有限公司,广东省,深圳市海普瑞药业集团股份有限公司,医疗保健,"公司本期募集资金扣除发行费用后拟全部用于补充流动资金,主要用于肝素钠原料药业务及肝素制剂业务的原材料采购,人员工资支付,设备更新维护及相关税费支出等.",一般公司债,深圳,AAA
112002001.IB,20工商银行(防疫专项)CD001,2.2,2020-02-25,,北京,中国工商银行股份有限公司,金融,,同业存单,银行间,
112093046.IB,20甘肃银行(防疫专项)CD022,2.65,2020-02-25,,甘肃省,甘肃银行股份有限公司,金融,,同业存单,银行间,
112093047.IB,20成都银行(防疫专项)CD027,2.3,2020-02-25,,四川省,成都银行股份有限公司,金融,,同业存单,银行间,
112093045.IB,20乐清农商银行(防疫专项)CD001,2.5,2020-02-25,,浙江省,浙江乐清农村商业银行股份有限公司,金融,,同业存单,银行间,
112017057.IB,20光大银行(防疫专项)CD057,2.2,2020-02-25,,北京,中国光大银行股份有限公司,金融,,同业存单,银行间,
165824.SH,中车保3A,--,2020-02-25,中国国际金融股份有限公司,天津,中车商业保理有限公司,金融,,证监会主管ABS,上海,AAA
zc20022505.SZ,锦绣06A,--,2020-02-25,长城证券股份有限公司,上海,尚隽商业保理(上海)有限公司,金融,,证监会主管ABS,深圳,AAA
112093044.IB,20慈溪农商银行(防疫专项)CD006,2.4,2020-02-25,,浙江省,宁波慈溪农村商业银行股份有限公司,金融,,同业存单,银行间,
112093043.IB,20杭州联合银行(防疫专项)CD001,2.4,2020-02-25,,浙江省,杭州联合农村商业银行股份有限公司,金融,,同业存单,银行间,
zc20022506.SZ,锦绣06次,--,2020-02-25,长城证券股份有限公司,上海,尚隽商业保理(上海)有限公司,金融,,证监会主管ABS,深圳,
166134.SH,20东吴C1,3.8,2020-02-25,"浙商证券股份有限公司,中国国际金融股份有限公司",江苏省,东吴证券股份有限公司,金融,"本期债券募集资金拟不超过50%用于偿还公司到期的有息债务,不低于50%用于支持疫情防护防控相关业务,包括但不限于新增投资疫区或因疫情受损或参与疫情防控的企业发行的疫情防控类金融产品;新增或置换前期为疫情防控捐赠资金,捐赠物资采购等支出;向疫区或因疫情受损的客户提供股权质押业务的资金;向疫区或因疫情受损的客户提供两融业务的资金;利用股权质押或者两融等业务为参与疫情防控的企业提供相应的资金支持.具体用于支持疫情防护防控相关业务的资金规模,将根据疫情发展情况进行适当调整.发行人将根据本期债券募集资金的实际到位情况及资金使用需要,进一步安排具体的募集资金用途,可能对拟定的金额进行适当调整.",证券公司债,上海,
165825.SH,中车保3C,--,2020-02-25,中国国际金融股份有限公司,天津,中车商业保理有限公司,金融,,证监会主管ABS,上海,
112093048.IB,20江苏苏州农商银行(防疫专项)CD006,2.7,2020-02-25,,江苏省,江苏苏州农村商业银行股份有限公司,金融,,同业存单,银行间,
112015074.IB,20民生银行(防疫专项)CD074,2.55,2020-02-25,,北京,中国民生银行股份有限公司,金融,,同业存单,银行间,
112092972.IB,20绍兴银行(防疫专项)CD013,2.85,2020-02-25,,浙江省,绍兴银行股份有限公司,金融,,同业存单,银行间,
082000061.IB,20陕建工(疫情防控债)ABN001优先,3.6,2020-02-25,"兴业银行股份有限公司,华泰证券股份有限公司",陕西省,陕西建工集团股份有限公司,工业,"发起机构本次注册资产支持票据[30]亿元,用于补充公司营运资金.首期[10]亿元用于补充营运资金,其中1亿元将用于补充抗击新型冠状病毒肺炎疫情相关的流动性资金缺口,用于支持陕西地区防疫医疗基础设施建设而导致的流动资金不足.",交易商协会ABN,银行间,AAA
082000062.IB,20陕建工(疫情防控债)ABN001次,--,2020-02-25,"兴业银行股份有限公司,华泰证券股份有限公司",陕西省,陕西建工集团股份有限公司,工业,"发起机构本次注册资产支持票据[30]亿元,用于补充公司营运资金.首期[10]亿元用于补充营运资金,其中1亿元将用于补充抗击新型冠状病毒肺炎疫情相关的流动性资金缺口,用于支持陕西地区防疫医疗基础设施建设而导致的流动资金不足.",交易商协会ABN,银行间,
112015072.IB,20民生银行(防疫专项)CD072,2.35,2020-02-25,,北京,中国民生银行股份有限公司,金融,,同业存单,银行间,
042000063.IB,20冀建投(疫情防控债)CP001,2.7,2020-02-25,"中国农业银行股份有限公司,国家开发银行",河北省,河北建设投资集团有限责任公司,工业,"首期短期融资券募集资金15亿元,其中:10亿元用于偿还发行人即将到期的河北建设投资集团有限责任公司2019年度第一期超短期融资券(债券简称:19冀建投SCP001);3.5亿元用于偿还银行借款;1.5亿元用于补充营运资金,用于抗击“新型冠状病毒疫情”期间保障供电,供热所需煤炭的采购和储备.",一般短期融资券,银行间,A-1
163181.SH,20东风01,3.05,2020-02-25,"中国国际金融股份有限公司,中银国际证券股份有限公司",湖北省,东风汽车集团股份有限公司,可选消费,本期债券募集资金不超过30亿元（含30亿元），扣除发行费用后，拟用于补充流动资金，其中部分资金将专门用于补充公司在湖北疫区范围内受疫情影响较大的分子公司在疫情期间生产营运（包含防疫特种车辆零部件生产）、抗疫物资运输以及公司向疫区捐赠等过程中的流动性资金需求。,一般公司债,上海,AAA
012000558.IB,20宝钢(疫情防控债)SCP003,1.85,2020-02-25,中国农业银行股份有限公司,上海,宝山钢铁股份有限公司,材料,"发行人本次发行超短期融资券40亿元,其中4亿元拟用于发行人及其子公司用于补充因抗击疫情带来的营运资金需求,36亿元用于归还发行人有息负债.",超短期融资债券,银行间,
012000557.IB,20深农产品(疫情防控债)SCP001,2.88,2020-02-25,中国农业银行股份有限公司,广东省,深圳市农产品集团股份有限公司,日常消费,"本期超短期融资券募集资金5亿元,其中0.5亿元用于补充参与新型冠状病毒肺炎疫情防控相关的营运资金,4.5亿元拟偿还金融机构借款",超短期融资债券,银行间,
163944.SH,20齐鲁Y1,3.44,2020-02-25,"国泰君安证券股份有限公司,广发证券股份有限公司,中信证券华南股份有限公司,国信证券股份有限公司",山东省,齐鲁交通发展集团有限公司,工业,"本期债券的募集资金扣除相关发行费用后,拟用于偿还到期负债,补充流动资金.",一般公司债,上海,AAA
012000555.IB,20交子金融(疫情防控债)SCP001,2.3,2020-02-25,"上海浦东发展银行股份有限公司,成都银行股份有限公司",四川省,成都交子金融控股集团有限公司,工业,"本期超短期融资券募集资金5亿元,其中4.5亿元拟用于偿还到期债务融资工具,0.5亿元拟专项用于发行人子公司成都金控融资租赁有限公司为疫情防控的相关企业提供租赁业务支持.",超短期融资债券,银行间,
112092930.IB,20萧山农商银行(防疫专项)CD013,2.65,2020-02-25,,浙江省,浙江萧山农村商业银行股份有限公司,金融,,同业存单,银行间,
012000556.IB,20深航空(疫情防控债)SCP007,1.85,2020-02-25,兴业银行股份有限公司,广东省,深圳航空有限责任公司,工业,"本期超短期融资券发行金额为5亿元,其中0.5亿元用于补充企业防疫流动资金,4.5亿元用于提前归还深圳航空有限责任公司在中航财务公司的流动资金贷款和即将到期的超短期融资券.",超短期融资债券,银行间,
112092949.IB,20安吉农商银行(防疫专项)CD007,2.8,2020-02-25,,浙江省,浙江安吉农村商业银行股份有限公司,金融,,同业存单,银行间,
112092928.IB,20浙江三门农商银行(防疫专项)CD002,2.4,2020-02-25,,浙江省,浙江三门农村商业银行股份有限公司,金融,,同业存单,银行间,
112092937.IB,20余姚农商银行(防疫专项)CD004,2.6,2020-02-25,,浙江省,宁波余姚农村商业银行股份有限公司,金融,,同业存单,银行间,
112015073.IB,20民生银行(防疫专项)CD073,2.2,2020-02-25,,北京,中国民生银行股份有限公司,金融,,同业存单,银行间,
163186.SH,20国金01,3.03,2020-02-24,东吴证券股份有限公司,四川省,国金证券股份有限公司,金融,"本期发行募集资金扣除发行费用后用于拟用于支持疫情防护防控相关业务,偿还疫情防控期间到期公司债券以及补充流动资金.",证券公司债,上海,AAA
163187.SH,20国金02,3.18,2020-02-24,东吴证券股份有限公司,四川省,国金证券股份有限公司,金融,"本期发行募集资金扣除发行费用后用于拟用于支持疫情防护防控相关业务,偿还疫情防控期间到期公司债券以及补充流动资金.",证券公司债,上海,AAA
012000516.IB,20招商局港(疫情防控债)SCP001,2.5,2020-02-24,"招商银行股份有限公司,中国银行股份有限公司",广东省,招商局港口集团股份有限公司,工业,"本期计划发行规模为7亿元,募集资金中0.7亿元用于补充下属港口用于新型冠状病毒疫情防控支持的流动资金,6.3亿元用于偿还发行人本部债务融资工具(19招商局港SCP002).",超短期融资债券,银行间,
012000518.IB,20长虹(疫情防控债)SCP001,3.7,2020-02-24,中国邮政储蓄银行股份有限公司,四川省,四川长虹电器股份有限公司,可选消费,"本期超短期融资券发行金额10亿元,其中1.25亿元用于下属子公司疫情防控的流动资金,8.75亿元资金计划用于偿还发行人本部的有息负债.",超短期融资债券,银行间,
